name;address_country;address_city;address_full;contact_phone;contact_fax;contact_website;juridicInfos_nature;juridicInfos_creationYear;juridicInfos_juridicForm;juridicInfos_activity;juridicInfos_capital;juridicInfos_effectif;Logo_link;products_0;products_1;products_2;products_3;dirigeants_0_name;dirigeants_0_funtion;dirigeants_1_name;dirigeants_1_funtion;dirigeants_2_name;dirigeants_2_funtion;dirigeants_3_name;dirigeants_3_funtion;dirigeants_4_name;dirigeants_4_funtion;dirigeants_5_name;dirigeants_5_funtion;dirigeants_6_name;dirigeants_6_funtion;dirigeants_7_name;dirigeants_7_funtion;partner_0_name;partner_0_type;partner_1_name;partner_1_type;partner_2_name;partner_2_type;partner_3_name;partner_3_type;partner_4_name;partner_4_type;partner_5_name;partner_5_type;partner_6_name;partner_6_type;partner_7_name;partner_7_type;partner_8_name;partner_8_type;partner_9_name;partner_9_type;partner_10_name;partner_10_type
SAS; États-Unis; Caroline du Nord; 100 SAS Campus Drive Cary, NC 27513-2414, USA; +1-800-727-0025;+1-919-677-4444;https://www.sas.com/fr_ma/home.html;Siège;1976;Société à capitaux privés;Informatique, Progiciel;;13 741(2014); https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/SAS_logo_horiz.svg/1280px-SAS_logo_horiz.svg.png;SAS/QC;SAS/STAT;SAS/ML;SAS/OR;James Goodnight;Founder and CEO;Anthony James Barr;Founder;John Sall ;Founder and vice CEO;;;;;;;;;;;A3S Delta doo;;A5SYS;;ABC Transparency LTD, Podružnica v Sloveniji;;ABeam (Japan);;Accantec Consulting AG;;Accantec Consulting AG;;Accenture (Brazil);;Accenture (Russia);;Accord Business Group (UAE);;Accudata Peru;;Accurate Software Ltda;
Pyramid Analytics; Netherlands; Amsterdam; 22 Jollemanhof 1019GW Amsterdam, Netherlands; +31 (20) 8885714;;https://www.pyramidanalytics.com;Siège;2009;Société à capitaux privés;Business intelligence software;;120(November 2014); https://allvectorlogo.com/img/2020/02/pyramid-analytics-logo-vector-xs.png;Pyramid;;;;Omri Kohl;Founder and CEO;Avi Perez;Founder and CTO;Herbert Ochtman;Founder;Oz Tarazi;CFO;;;;;;;;;AWS;;Azure;;Oracle;;SAP;;Snowflake;;Datavard Glue for SAP;;Google;;Exasol | The Analytics Database;;Microsoft Azure Synapse Analytics;
The Information Lab Italia S.r.l.;;;;;;http://www.theinformationlab.it;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/info-lab-logo_5.png?itok=QwLnYtpO;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
ACTINVISION;;;;;;http://www.actinvision.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/20190221_actinvision_logopoty_002.png?itok=gmzPZCwg;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
AE Business Solutions;;;;;;http://www.aebs.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/ae-logo-transparent.jpg?itok=m4wTGIX_;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Affecto Oyj;;;;;;http://www.cgi.fi;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo_cgi_color_jpg.jpg?itok=8wxdqDIn;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Alation, Inc.;;;;;;http://www.alation.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/alation.png?itok=wQwQiSvo;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
ANALYTIKA PLUS;;;;;;http://analytikaplus.ru;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo-orange-simple.jpg?itok=8LlgiBTL;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Arrow ECS Brasil;;;;;;http://www.arrowecs.com.br;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-06/TableauPartner.png?itok=N_eQ9a2z;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
ASTRAFOX SP Z O O;;;;;;http://www.astrafox.pl;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/astrafox.png?itok=mV_Ym0IE;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Avaap;;;;;;http://www.avaap.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/pages/avaap_150.png?itok=WiPGw6vm;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Bechtle Logistik & Service GmbH;;;;;;http://www.bechtle.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/bechtle_neu_rgb1.png?itok=4bEX51Qa;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Beinex Consulting DWC LLC;;;;;;http://beinex.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/beinex-hi-res_1_0.jpg?itok=Xwz52ulG;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Beinex Consulting Limited;;;;;;http://beinex.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/beinex-hi-res_1.jpg?itok=a4jQcysu;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
BHS Kriptos Soluções de Negócio Ltda;;;;;;http://www.bhs.com.br;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Bigxdata Inc;;;;;;http://bigxdata.io;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2020-10/Bigxdata%20logo_0.PNG?itok=v5uru-r2;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Billigence Pty Ltd;;;;;;http://www.billigence.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/billigence-final-01_0.jpg?itok=OUUaXSMz;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Biztory;;;;;;https://www.biztory.com/;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/biztory_logo.png?itok=10qJPg_K;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
BIZTORY LTD;;;;;;http://www.biztory.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
BluePatagon;;;;;;http://bluepatagon.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/bluepatagon.jpg?itok=hpkN3yii;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
btProvider;;;;;;http://www.btprovider.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/btprovider_logo1-01.png?itok=09jh14MX;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Business Applications Co., Ltd.;;;;;;http://bac.co.th;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-04/logo%20BAC%20Hi%20Res_0.jpg?itok=vT4ENWIN;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
BYIT (Beijing) Technology Co Ltd;;;;;;http://www.byitgroup.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/byit-logo.png?itok=LjTZrhXf;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Cherry Bekaert, LLP;;;;;;http://www.icimo.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/pages/icimo.png?itok=egpAvtQq;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Cleartelligence, Inc.;;;;;;http://www.cleartelligence.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/cleartelligence_200by80_logo.png?itok=1ku9Y0k4;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Coenterprise LLC;;;;;;http://www.coenterprise.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/pages/coenterprise_150.png?itok=2KdglHHE;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Cognizant Technology Solutions Corporation;;;;;;http://www.cognizant.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/cognizant_logo_brand_blue_cmyk_300.jpg?itok=kN5IJT3E;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Collibra;;;;;;http://www.collibra.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/collibra-logo-rgb-fullcolor.png?itok=nw1VVG4V;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
CRG Solutions Private Limited;;;;;;http://www.crgsolutions.co.in;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-03/CRG%20logo.png?itok=-LUKqlGi;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
CSC BRASIL;;;;;;http://www.cscbrasil.com.br;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-02/Logo%20qads_em%20alta.png?itok=YRYdHV7w;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Cybercom Finland Oy;;;;;;http://www.cybercom.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-06/CybercomG_logo_classic_CMYK.png?itok=vmF5-Cyb;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Cybertrend Intrabuana, PT;;;;;;http://www.cybertrend-intra.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/stories/cybertrend-logo1.png?itok=PPButyIg;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Data Brains, Inc.;;;;;;http://www.databrains.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/data_brains_logo-color-on-clear_0.png?itok=yReEKUU4;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
DataDrive;;;;;;http://www.godatadrive.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/datadrivelogoa10.jpg?itok=Rt6HEVGG;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Decisive Data, Inc.;;;;;;http://www.decisivedata.net;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/pages/decisive_data_150.png?itok=uhUOecCP;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Devoteam Rubicón;;;;;;http://www.rubiconbi.es;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo_devoteam_rubicon-01.png?itok=adW0X2UB;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
D|ONE AG;;;;;;http://www.d1-solutions.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo-done-farbig-claim.png?itok=U1aaSM7x;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Ecoh Media Srl;;;;;;http://www.ecohmedia.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/ecoh-media-2017-positivo.jpg?itok=9_vEQ3rH;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Eigen X, LLC;;;;;;http://www.eigenx.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/download_2_0.png?itok=ygXzvw1G;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
G-Able Company Limited;;;;;;http://www.g-able.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/g-able_300x132.jpg?itok=dAjRQ2R_;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
G-STAT LTD;;;;;;http://www.g-stat.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/images_69.jpg?itok=9zQzrYT2;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
GE Flight Efficiency Services, Incorporated;;;;;;http://www.austindigital.biz;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
GlowByte Data Labs LLC;;;;;;http://www.glowbyteconsulting.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
GlowByte Holding;;;;;;http://www.gbconsulting.ru;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/glowbytelogo_clear.png?itok=S-DE1e0d;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
GlowByte Soft LLC;;;;;;http://glowbyte.ru;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Goldstone Technologies Limited;;;;;;http://www.goldstonetech.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2020-10/goldstone.png?itok=ZQ7IcxsT;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Infotopics B.V.;;;;;;http://www.infotopics.nl;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/infotopics_logo.png?itok=qrr9mEt0;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Interworks Aus Pty Ltd;;;;;;http://www.interworks.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/interworks_logo_stacked.png?itok=ZO0oKvY3;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
INTERWORKS EUROPE GROUP LIMITED;;;;;;http://www.interworks.eu;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
InterWorks GmbH;;;;;;https://www.interworks.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
InterWorks, Inc.;;;;;;http://www.interworks.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/interworks_logo_stacked.png?itok=ZO0oKvY3;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Inviso by Devoteam;;;;;;http://inviso.dk;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-01/Inviso_Color_RGB.png?itok=pOhwBRBe;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
ITOCHU Techno-Solutions Corporation (CTC);;;;;;https://www.ctc-g.co.jp/;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/ctc_logo_2.jpg?itok=NuJG-3AK;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
itPerforma;;;;;;http://www.itperforma.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/itperforma_0.png?itok=xsMBxEY3;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
KARA Consulting;;;;;;http://karadanismanlik.com.tr;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/karadanismanlik_medium.png?itok=hG6PYyF6;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Kepro Solutions Limited;;;;;;http://www.kepro.com.hk;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/kepro.jpg?itok=BP6xoHfx;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Keyrus USA;;;;;;http://www.keyrus.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
LLC GlowByte Ukraine;;;;;;http://Glowbyte.ru;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Lovelytics;;;;;;http://www.lovelytics.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/lovelytics_logo.jpg?itok=O4Xxey9D;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
M2. technology & project consulting GmbH;;;;;;http://www.m2dot.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/m2d_logo_rgb.png?itok=LaydyZxs;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
Microsystem S.A.;;;;;;http://www.microsystem.cl;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo_microsystem.png?itok=J_P5WVRy;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
MIP (Aust) Pty Ltd;;;;;;http://www.mip.com.au;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/mip_hq_0.jpg?itok=kViyuhMG;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
MOUTON ROUGE;;;;;;http://www.mouton-rouge.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/reseller_premier.png?itok=ouAZiN8s;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
MYDRAL;;;;;;http://www.mydral.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2021-05/Mydral_logostandard.png?itok=q40yzCWc;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
NDLS sp. z o.o.;;;;;;http://www.newdatalabs.com;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/companies/logo_newdatalabs_png.png?itok=o2jzRrJc;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
NEC Solution Innovators Ltd;;;;;;http://www.necst.co.jp/;;;;;;;https://www.tableau.com/sites/default/files/styles/scale_180x80/public/2020-10/nes_logo.png?itok=nk7-mVIJ;;;;;;;;;;;;;;;;;;;;;Tableau;;;;;;;;;;;;;;;;;;;;;
